Noo,8,jing,wei
150,2018-04-01 00:00:10,121.40148300000001,31.310902000000002
150,2018-04-01 00:00:20,121.40148300000001,31.310902000000002
150,2018-04-01 00:00:40,121.40148300000001,31.310902000000002
150,2018-04-01 00:00:50,121.40148300000001,31.310902000000002
150,2018-04-01 00:01:00,121.40148300000001,31.310902000000002
155,2018-04-01 00:00:10,121.54620200000001,31.204946999999997
155,2018-04-01 00:00:20,121.546203,31.20495
155,2018-04-01 00:00:40,121.54620800000001,31.204953000000003
155,2018-04-01 00:00:50,121.54620800000001,31.204954999999998
155,2018-04-01 00:01:00,121.54621200000001,31.204954999999998
169,2018-04-01 00:00:10,121.39066299999999,31.17785
169,2018-04-01 00:00:20,121.39066299999999,31.17785
169,2018-04-01 00:00:40,121.39066799999999,31.177847999999997
169,2018-04-01 00:00:50,121.39066799999999,31.177847999999997
169,2018-04-01 00:01:00,121.39066799999999,31.177847999999997
170,2018-04-01 00:00:10,121.34888500000001,31.254725
170,2018-04-01 00:00:20,121.34801499999999,31.253018
170,2018-04-01 00:00:40,121.34637,31.249817999999998
170,2018-04-01 00:00:50,121.34558999999999,31.248272999999998
170,2018-04-01 00:01:00,121.344952,31.247015
178,2018-04-01 00:00:09,121.31330200000001,31.241366999999997
178,2018-04-01 00:00:18,121.31329699999999,31.241363
178,2018-04-01 00:00:39,121.31329699999999,31.241363
178,2018-04-01 00:00:48,121.31329699999999,31.241363
178,2018-04-01 00:00:59,121.31329699999999,31.241363
190,2018-04-01 00:00:11,121.54691499999998,31.18078
190,2018-04-01 00:00:21,121.54691499999998,31.18078
190,2018-04-01 00:00:41,121.54691499999998,31.180782
190,2018-04-01 00:00:51,121.54691499999998,31.180782
190,2018-04-01 00:01:01,121.54691499999998,31.180782
192,2018-04-01 00:00:11,121.575677,31.275221999999996
192,2018-04-01 00:00:21,121.575677,31.275216999999998
192,2018-04-01 00:00:41,121.575677,31.275216999999998
192,2018-04-01 00:00:51,121.575677,31.275216999999998
192,2018-04-01 00:01:01,121.575677,31.275216999999998
199,2018-03-31 23:59:17,121.448173,31.183253000000004
199,2018-03-31 23:59:27,121.448177,31.183255
203,2018-04-01 00:00:08,121.45701499999998,31.234687
203,2018-04-01 00:00:18,121.45701499999998,31.234687
203,2018-04-01 00:00:38,121.45701499999998,31.234687
203,2018-04-01 00:00:48,121.457008,31.234685
203,2018-04-01 00:00:58,121.457008,31.234685
211,2018-04-01 00:00:02,121.42278,30.986827
211,2018-04-01 00:00:12,121.42278,30.986827
211,2018-04-01 00:00:32,121.42278,30.986827
211,2018-04-01 00:00:42,121.42278,30.986827
211,2018-04-01 00:00:52,121.42278700000001,30.986822999999998
214,2018-04-01 00:00:04,121.538478,31.144623
214,2018-04-01 00:00:14,121.538478,31.144623
214,2018-04-01 00:00:34,121.538478,31.144623
214,2018-04-01 00:00:44,121.538478,31.144623
214,2018-04-01 00:00:54,121.538475,31.144623
215,2018-04-01 00:00:04,121.38501000000001,31.292408000000002
215,2018-04-01 00:00:14,121.38501000000001,31.292408000000002
215,2018-04-01 00:00:34,121.38501000000001,31.292408000000002
215,2018-04-01 00:00:44,121.38501000000001,31.292408000000002
215,2018-04-01 00:00:54,121.38500800000001,31.292407
219,2018-04-01 00:00:05,121.32423999999999,31.166259999999998
219,2018-04-01 00:00:15,121.324238,31.166258000000003
219,2018-04-01 00:00:35,121.324238,31.166258000000003
219,2018-04-01 00:00:45,121.324238,31.166258000000003
219,2018-04-01 00:00:55,121.324238,31.166258000000003
222,2018-04-01 00:00:11,121.45360500000001,31.117538
222,2018-04-01 00:00:21,121.45359499999999,31.117478000000002
222,2018-04-01 00:00:41,121.45289,31.117392
222,2018-04-01 00:00:49,121.45241499999999,31.117345
222,2018-04-01 00:00:59,121.45233300000001,31.117083
